name,diet,period,lived_in,type,length,species
aardonyx,herbivorous,Early Jurassic 199-189 million years ago,South Africa,sauropod,8.0m,celestae
abelisaurus,carnivorous,Late Cretaceous 74-70 million years ago,Argentina,large theropod,9.0m,comahuensis
achelousaurus,herbivorous,Late Cretaceous 83-70 million years ago,USA,ceratopsian,6.0m,horneri
achillobator,carnivorous,Late Cretaceous 99-84 million years ago,Mongolia,large theropod,5.0m,
aralosaurus,herbivorous,Late Cretaceous 94-84 million years ago,Kazakhstan,euornithopod,8.0m,tuberiferus 
agilisaurus,herbivorous,Late Jurassic 169-159 million years ago,China,euornithopod,,louderbacki
alamosaurus,herbivorous,Late Cretaceous 70-65 million years ago,USA,sauropod,21.0m,sanjuanensis
albertaceratops,herbivorous,Late Cretaceous 80-75 million years ago,USA,ceratopsian,7.0m,nesmoi
albertosaurus,carnivorous,Late Cretaceous 76-74 million years ago,Canada,large theropod,9.0m,libratus
austrosaurus,herbivorous,Early Cretaceous 112-99 million years ago,Australia,sauropod,15.0m,mckillopi 
allosaurus,carnivorous,Late Jurassic 156-144 million years ago,USA,large theropod,12.0m,fragilis
torosaurus,herbivorous,Late Cretaceous 70-65 million years ago,USA,ceratopsian,7.5m,latus
aegyptosaurus,herbivorous,Late Cretaceous 98-93 million years ago,Egypt,sauropod,15.0m,baharijensis
alioramus,carnivorous,Late Cretaceous 71-65 million years ago,Mongolia,large theropod,6.0m,remotus
